id_uni,nomb_uni,id_est,id_est-2,nom_est
703,UNIVERSIDAD NACIONAL ABIERTA,15,15,EDO. MONAGAS
704,UNIVERSIDAD NACIONAL ABIERTA,15,15,EDO. MONAGAS
705,UNIVERSIDAD NACIONAL ABIERTA,15,15,EDO. MONAGAS
706,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,15,15,EDO. MONAGAS
707,UNIVERSIDAD TERRITORIAL DELTAICA FRANCISCO TAMAYO,15,15,EDO. MONAGAS
708,UNIVERSIDAD TERRITORIAL DELTAICA FRANCISCO TAMAYO,15,15,EDO. MONAGAS
710,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DEL ESTADO PORTUGUESA,17,17,EDO. PORTUGUESA
712,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,17,17,EDO. PORTUGUESA
713,UNIVERSIDAD NACIONAL ABIERTA,17,17,EDO. PORTUGUESA
714,UNIVERSIDAD NACIONAL ABIERTA,17,17,EDO. PORTUGUESA
715,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DEL ESTADO PORTUGUESA,17,17,EDO. PORTUGUESA
716,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,17,17,EDO. PORTUGUESA
717,UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO PORTUGUESA,17,17,EDO. PORTUGUESA
718,UNIVERSIDAD NACIONAL ABIERTA,18,18,EDO. SUCRE
719,UNIVERSIDAD NACIONAL ABIERTA,18,18,EDO. SUCRE
720,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,18,18,EDO. SUCRE
721,UNIVERSIDAD NACIONAL ABIERTA,18,18,EDO. SUCRE
723,INSTITUTO UNIVERSITARIO MILITAR DE LA GUARDIA NACIONAL CORONEL (F) ANICETO CUBILLÁN JAIMES,19,19,EDO. TACHIRA
71,INSTITUTO MILITAR UNIVERSITARIO DE TECNOLOGIA DE LA GUARDIA NACIONAL,19,19,EDO. TACHIRA
725,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA AGROINDUSTRIAL REGIÓN LOS ANDES,19,19,EDO. TACHIRA
727,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,19,19,EDO. TACHIRA
728,UNIVERSIDAD NACIONAL ABIERTA,20,20,EDO . TRUJILLO
730,UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ESTADO TRUJILLO MARIO BRICEÑO IRAGORRY,20,20,EDO . TRUJILLO
731,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,22,22,EDO. YARACUY
732,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,22,22,EDO. YARACUY
734,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,22,22,EDO. YARACUY
735,UNIVERSIDAD NACIONAL EXPERIMENTAL POLITÉCNICA DE LA FUERZA ARMADA NACIONAL,22,22,EDO. YARACUY
736,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,22,22,EDO. YARACUY
737,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,22,22,EDO. YARACUY
738,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE CABIMAS,23,23,EDO. ZULIA
739,UNIVERSIDAD POLITÉCNICA TERRITORIAL DEL ZULIA,23,23,EDO. ZULIA
740,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE MARACAIBO,23,23,EDO. ZULIA
743,UNIVERSIDAD NACIONAL ABIERTA,23,23,EDO. ZULIA
748,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE MARACAIBO,23,23,EDO. ZULIA
749,UNIVERSIDAD POLITÉCNICA TERRITORIAL DE MARACAIBO,23,23,EDO. ZULIA
753,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,10,10,EDO. FALCON
754,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,10,10,EDO. FALCON
755,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,10,10,EDO. FALCON
756,UNIVERSIDAD NACIONAL EXPERIMENTAL FRANCISCO DE MIRANDA,10,10,EDO. FALCON
151,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA AMAZONAS,1,1,EDO. AMAZONAS
259,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,2,2,EDO. ANZOATEGUI
260,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,6,6,EDO. BOLIVAR
261,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,15,15,EDO. MONAGAS
262,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,18,18,EDO. SUCRE
594,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,2,2,EDO. ANZOATEGUI
598,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,2,2,EDO. ANZOATEGUI
632,UNIVERSIDAD NORORIENTAL PRIVADA GRAN MARISCAL DE AYACUCHO,6,6,EDO. BOLIVAR
746,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,23,23,EDO. ZULIA
733,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,22,22,EDO. YARACUY
742,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,23,23,EDO. ZULIA
744,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,23,23,EDO. ZULIA
745,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA PEDRO EMILIO COLL,23,23,EDO. ZULIA
741,COLEGIO UNIVERSITARIO MONSEÑOR DE TALAVERA,23,23,EDO. ZULIA
709,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA PARA LA INFORMÁTICA,17,17,EDO. PORTUGUESA
711,COLEGIO UNIVERSITARIO FERMÍN TORO,17,17,EDO. PORTUGUESA
700,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA CRISTÓBAL MENDOZA,13,13,EDO. MERIDA
722,INSTITUTO UNIVERSITARIO DE LA FRONTERA,19,19,EDO. TACHIRA
726,INSTITUTO UNIVERSITARIO DE LA FRONTERA,19,19,EDO. TACHIRA
698,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA RUFINO BLANCO FOMBONA,14,14,EDO. MIRANDA
729,INSTITUTO UNIVERSITARIO DE EDUCACIÓN ESPECIALIZADA,20,20,EDO . TRUJILLO
752,INSTITUTO UNIVERSITARIO DE EDUCACIÓN ESPECIALIZADA,23,23,EDO. ZULIA
747,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA READIC,23,23,EDO. ZULIA
169,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE ADMINISTRACIÓN INDUSTRIAL,1,1,DTTO. CAPITAL
170,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE ADMINISTRACIÓN INDUSTRIAL,2,2,EDO. ANZOATEGUI
171,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE ADMINISTRACIÓN INDUSTRIAL,4,4,EDO. ARAGUA
172,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE ADMINISTRACIÓN INDUSTRIAL,7,7,EDO. CARABOBO
600,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA DE ADMINISTRACIÓN INDUSTRIAL,2,2,EDO. ANZOATEGUI
153,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,2,2,EDO. ANZOATEGUI
154,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,4,4,EDO. ARAGUA
155,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,5,5,EDO. BARINAS
156,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,6,6,EDO. BOLIVAR
157,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,7,7,EDO. CARABOBO
158,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,10,10,EDO. FALCON
159,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,12,12,EDO. LARA
160,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,13,13,EDO. MERIDA
161,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,14,14,EDO. MIRANDA
696,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA ANTONIO JOSÉ DE SUCRE,14,14,EDO. MIRANDA
202,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,23,23,EDO. ZULIA
751,INSTITUTO UNIVERSITARIO DE TECNOLOGÍA JUAN PABLO PÉREZ ALFONZO,23,23,EDO. ZULIA
232,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,11,11,EDO. GUARICO
233,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,22,22,EDO. YARACUY
234,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,23,23,EDO. ZULIA
750,INSTITUTO UNIVERSITARIO PEDAGÓGICO MONSEÑOR RAFAEL ARIAS BLANCO,23,23,EDO. ZULIA
239,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,7,7,EDO. CARABOBO
10,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,13,13,EDO. MERIDA
11,INSTITUTO UNIVERSITARIO POLITÉCNICO SANTIAGO MARIÑO,14,14,EDO. MIRANDA
