nombre,continente,capital,latitud,longitud
ISLAS HEARD Y MCDONALD,ANTARTIDA,,,
ISLAS MALDIVAS,ASIA,MALE,41755,735093
ISLAS MALVINAS,AMERICA,STANLEY,-516977,-578517
ISLAS MARIANAS DEL NORTE,AUSTRALIA Y OCEANIA,SAIPAN,151778,1457509
ISLAS MARSHALL,AUSTRALIA Y OCEANIA,MAJURO,70897,1713803
ISLAS PITCAIRN,AUSTRALIA Y OCEANIA,ADAMSTOWN,-250663,-1301005
ISLAS SALOMON,AUSTRALIA Y OCEANIA,HONIARA,-94456,1599729
ISLAS TURCAS Y CAICOS,AMERICA,COCKBURN TOWN,214675,-711389
ISLAS ULTRAMARINAS MENORES DE ESTADOS UNIDOS,,,,
ISLAS VIRGENES BRITANICAS,AMERICA,ROAD TOWN,184286,-646185
ISLAS VIRGENES DE LOS ESTADOS UNIDOS,AMERICA,CHARLOTTE AMALIE,183419,-649307
ISRAEL,ASIA,JERUSALEN,317683,352137
ITALIA,EUROPA,ROMA,419028,124964
JAMAICA,AMERICA,KINGSTON,179714,-767932
JAPON,ASIA,TOKIO,356762,1396503
JERSEY,EUROPA,SAINT HELIER,49186,-21065
JORDANIA,ASIA,AMMAN,319539,359106
KAZAJISTAN,ASIA,ASTANA,511605,714704
KENIA,AFRICA,NAIROBI,-12921,368219
KIRGIZSTAN,ASIA,BISHKEK,428746,745698
KIRIBATI,AUSTRALIA Y OCEANIA,TARAWA,14518,1729718
KUWAIT,ASIA,KUWAIT,293759,479774
LAOS,ASIA,VIENTIANE,179757,1026331
LESOTO,AFRICA,MASERU,-2931,2748
LETONIA,EUROPA,RIGA,569496,241052
LIBANO,ASIA,BEIRUT,338938,355018
LIBERIA,AFRICA,MONROVIA,63008,-107972
LIBIA,AFRICA,TRIPOLI,328872,131913
LIECHTENSTEIN,EUROPA,VADUZ,47141,95209
LITUANIA,EUROPA,VILNIUS,546872,252797
LUXEMBURGO,EUROPA,LUXEMBURGO,496116,61319
MACAO,ASIA,MACAO,221987,1135439
MACEDONIA,EUROPA,SKOPJE,419973,21428
MADAGASCAR,AFRICA,ANTANANARIVO,-188792,475079
MALASIA,ASIA,KUALA LUMPUR,3139,1016869
MALAWI,AFRICA,LILONGWE,-139626,337741
MALI,AFRICA,BAMAKO,126392,-80029
MALTA,EUROPA,VALLETA,358997,145147
MARRUECOS,AFRICA,RABAT,339716,-68498
MARTINICA,AMERICA,FORT-DE-FRANCE,146161,-610588
MAURICIO,AFRICA,PORT LOUIS,-201609,575012
MAURITANIA,AFRICA,NOUAKCHOTT,180735,-159582
MAYOTTE,AFRICA,MAMOUDZOU,-127809,452279
MEXICO,AMERICA,CIUDAD DE MEXICO,194326,-991332
MICRONESIA,AUSTRALIA Y OCEANIA,PALIKIR,69147,158161
MOLDAVIA,EUROPA,CHISINAU,470105,288638
MONACO,EUROPA,MONACO,437384,74246
MONGOLIA,ASIA,ULAN BATOR,478864,1069057
MONTENEGRO,EUROPA,PODGORICA,424304,192594
MONTSERRAT,AMERICA,PLYMOUTH,167065,-622157
MOZAMBIQUE,AFRICA,MAPUTO,-258919,326051
